,full_name,engine_capacity,resale_price,registered_year,insurance,transmission_type,kms_driven,owner_type,fuel_type,brand
96,Swift Dzire,1248.0,350000.0,2014,Third,Manual,80000.0,Second,Diesel,Maruti
97,City i,1498.0,380000.0,2014,Third,Manual,120000.0,Fourth,Diesel,Honda
98,Vitara Brezza,1248.0,780000.0,2019,Third,Manual,100000.0,First,Diesel,Maruti
99,KWID STD,799.0,240000.0,2018,Third,Manual,20000.0,First,Petrol,Renault
100,Nexon XM,1199.0,840000.0,2021,Third,Manual,10000.0,First,Petrol,Tata
101,Ecosport 1.5,1498.0,250000.0,2013,Third,Manual,100000.0,Second,Diesel,Ford
102,Swift VDI,1248.0,400000.0,2014,Third,Manual,100000.0,Second,Diesel,Maruti
103,Wagon R,1061.0,150000.0,2009,Third,Manual,80000.0,First,Petrol,Maruti
104,Indica Aqua,1248.0,100000.0,2009,Third,Manual,70000.0,Second,Diesel,Tata
105,XUV500 W7,2179.0,1275000.0,2020,Third,Manual,50000.0,First,Diesel,Mahindra
106,GO Plus,1198.0,270000.0,2015,Third,Manual,30000.0,Second,Petrol,Datsun
107,Beat Diesel,936.0,220000.0,2012,Third,Manual,70000.0,Second,Diesel,Chevrolet
108,Aspire 1.5,1498.0,600000.0,2017,Third,Manual,50000.0,First,Diesel,Ford
109,XUV500 W4,2179.0,900000.0,2016,Third,Manual,50000.0,First,Diesel,Mahindra
110,Wagon R,1197.0,495000.0,2019,Third,Manual,20000.0,First,Petrol,Maruti
111,XUV300 W8,1197.0,980000.0,2022,Third,Automatic,60000.0,First,Petrol,Mahindra
112,Seltos GTX,1353.0,1375000.0,2019,Third,Automatic,20000.0,First,Petrol,Kia
113,Wagon R,998.0,340000.0,2015,Third,Manual,40000.0,First,Petrol,Maruti
114,Hector Sharp,1451.0,1300000.0,2020,Third,Automatic,40000.0,Second,Petrol,MG
115,Nexon 1.2,1198.0,600000.0,2019,Third,Manual,70000.0,First,Petrol,Tata
116,Brio V,1198.0,300000.0,2012,Third,Manual,60000.0,First,Petrol,Honda
117,Fluence Diesel,1461.0,500000.0,2013,Third,Manual,150000.0,Second,Diesel,Renault
118,Yaris G,1496.0,1099000.0,2020,Third,Manual,40000.0,First,Petrol,Toyota
119,City 1.5,1497.0,350000.0,2011,Third,Manual,90000.0,Second,Petrol,Honda
120,Triber RXL,999.0,435000.0,2019,Third,Manual,20000.0,First,Petrol,Renault
121,Wagon R,998.0,186000.0,2012,Third,Manual,100000.0,Second,Petrol,Maruti
122,Eeco CNG,1196.0,625000.0,2022,Third,Manual,20000.0,First,CNG,Maruti
123,Duster 110PS,1461.0,450000.0,2012,Third,Manual,120000.0,Second,Diesel,Renault
124,i20 1.4,1396.0,650000.0,2017,Third,Manual,80000.0,First,Diesel,Hyundai
125,Wagon R,998.0,350000.0,2018,Third,Manual,150000.0,First,CNG,Maruti
